title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
The Great Beauty,2013,113108,the-great-beauty-2013,tt2358891,179144,,,,1,2026-01-24T13:49:00.000Z
Birdman or (The Unexpected Virtue of Ignorance),2014,121489,birdman-or-the-unexpected-virtue-of-ignorance-2014,tt2562232,194662,,,,1,2026-01-24T12:29:00.000Z
The Maze Runner,2014,124008,the-maze-runner-2014,tt1790864,198663,,,,1,2026-01-24T13:07:00.000Z
Coherence,2014,135581,coherence-2014,tt2866360,220289,,,,1,2025-09-08T21:52:00.000Z
Nightcrawler,2014,147742,nightcrawler-2014,tt2872718,242582,,,,1,2026-02-04T19:09:00.000Z
The Lobster,2015,154718,the-lobster-2015,tt3464902,254320,,,,1,2026-01-24T13:08:00.000Z
Ex Machina,2015,163375,ex-machina-2015,tt0470752,264660,,,,1,2026-01-24T12:30:00.000Z
The Revenant,2015,179334,the-revenant-2015,tt1663202,281957,,,,1,2026-01-24T13:06:00.000Z
The Martian,2015,183371,the-martian-2015,tt3659388,286217,,,,1,2026-01-24T14:48:00.000Z
Deadpool,2016,190430,deadpool-2016,tt1431045,293660,,,,1,2026-02-04T19:06:00.000Z
Avengers: Infinity War,2018,191797,avengers-infinity-war-2018,tt4154756,299536,,,,1,2026-01-24T12:29:00.000Z
Avengers: Endgame,2019,191798,avengers-endgame-2019,tt4154796,299534,,,,1,2026-01-24T12:07:00.000Z
La La Land,2016,192932,la-la-land-2016,tt3783958,313369,,,,1,2026-01-24T12:08:00.000Z
The Big Short,2015,199563,the-big-short-2015,tt1596363,318846,,,,1,2026-01-24T13:07:00.000Z
The Lord of the Rings: The Return of the King (Extended),2003,209344,the-lord-of-the-rings-the-return-of-the-king-extended-2003,,328443,,,,1,2026-01-24T12:06:00.000Z
The Lord of the Rings: The Fellowship of the Ring (Extended),2001,210288,the-lord-of-the-rings-the-fellowship-of-the-ring-extended-2001,,329367,,,,1,2026-01-24T13:12:00.000Z
Arrival,2016,210803,arrival-2016,tt2543164,329865,,,,1,2026-01-24T12:14:00.000Z
Ready Player One,2018,214279,ready-player-one-2018,tt1677720,333339,,,,1,2026-01-24T14:50:00.000Z
Blade Runner 2049,2017,216716,blade-runner-2049-2017,tt1856101,335984,,,,1,2026-01-24T13:40:00.000Z
Maze Runner: The Death Cure,2018,217461,maze-runner-the-death-cure-2018,tt4500922,336843,,,,1,2026-01-24T14:54:00.000Z
Baby Driver,2017,219867,baby-driver-2017,tt3890160,339403,,,,1,2026-01-24T13:06:00.000Z
Annihilation,2018,220563,annihilation-2018,tt2798920,300668,,,,1,2026-01-24T13:08:00.000Z
Dunkirk,2017,224641,dunkirk-2017,tt5013056,374720,,,,1,2026-01-24T13:06:00.000Z
Deadpool 2,2018,226108,deadpool-2-2018,tt5463162,383498,,,,1,2026-01-24T13:06:00.000Z
Barbie,2023,242104,barbie-2023,tt1517268,346698,,,,1,2026-01-24T14:50:00.000Z
The Irishman,2019,242125,the-irishman-2019,tt1302006,398978,,,,1,2026-01-24T12:29:00.000Z
Kill Bill: The Whole Bloody Affair,2011,259317,kill-bill-the-whole-bloody-affair-2011,tt6019206,414419,,,,1,2026-01-24T12:37:00.000Z
Get Out,2017,264623,get-out-2017,tt5052448,419430,,,,1,2026-01-24T12:29:00.000Z
The Suicide Squad,2021,283364,the-suicide-squad-2021,tt6334354,436969,,,,1,2025-09-19T16:17:00.000Z
Dune,2021,287071,dune-2021,tt1160419,438631,,,,1,2026-01-24T12:29:00.000Z
Now You See Me: Now You Don't,2025,292275,now-you-see-me-now-you-don-t-2025,tt4712810,425274,,,,1,2026-01-24T14:47:00.000Z
A Quiet Place,2018,293955,a-quiet-place-2018,tt6644200,447332,,,,1,2025-06-22T11:47:00.000Z
Guardians of the Galaxy Volume 3,2023,293990,guardians-of-the-galaxy-volume-3-2023,tt6791350,447365,,,,1,2026-01-24T14:51:00.000Z
Once Upon a Time... in Hollywood,2019,313464,once-upon-a-time-in-hollywood-2019,tt7131622,466272,,,,1,2026-01-24T17:27:00.000Z
Killers of the Flower Moon,2023,313884,killers-of-the-flower-moon-2023,tt5537002,466420,,,,1,2026-01-24T12:28:00.000Z
Joker,2019,322988,joker-2019,tt7286456,475557,,,,1,2026-01-24T12:14:00.000Z
Ford v Ferrari,2019,324762,ford-v-ferrari-2019,tt1950186,359724,,,,1,2026-01-24T13:41:00.000Z
