title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
The Departed,2006,952,the-departed-2006,tt0407887,1422,8,4.0,2026-01-24T17:27:03.000Z,,
Mickey 17,2025,540151,mickey-17-2025,tt12299608,696506,7,3.5,2026-01-24T14:53:39.000Z,,
Toy Story 3,2010,5407,toy-story-3-2010,tt0435761,10193,9,4.5,2026-01-24T14:53:02.000Z,,
Free Guy,2021,400704,free-guy-2021,tt6264654,550988,6,3.0,2026-01-24T14:52:55.000Z,,
The Hobbit: The Battle of the Five Armies,2014,84900,the-hobbit-the-battle-of-the-five-armies-2014,tt2310332,122917,6,3.0,2026-01-24T14:52:50.000Z,,
"Crazy, Stupid, Love.",2011,35436,crazy-stupid-love-2011,tt1570728,50646,7,3.5,2026-01-24T14:52:38.000Z,,
(500) Days of Summer,2009,12224,500-days-of-summer-2009,tt1022603,19913,7,3.5,2026-01-24T14:51:59.000Z,,
Guardians of the Galaxy Volume 3,2023,293990,guardians-of-the-galaxy-volume-3-2023,tt6791350,447365,7,3.5,2026-01-24T14:51:54.000Z,,
Our Fault,2025,931834,our-fault-2025,tt33311244,1156594,4,2.0,2026-01-24T14:51:28.000Z,,
Gladiator II,2024,409281,gladiator-ii-2024,tt9218128,558449,7,3.5,2026-01-24T14:51:20.000Z,,
The Shining,1980,566,the-shining-1980,tt0081505,694,8,4.0,2026-01-24T14:51:11.000Z,,
Shrek 2,2004,652,shrek-2-2004,tt0298148,809,9,4.5,2026-01-24T14:51:07.000Z,,
28 Weeks Later,2007,1021,28-weeks-later-2007,tt0463854,1562,6,3.0,2026-01-24T14:51:01.000Z,,
Harry Potter and the Deathly Hallows: Part 2,2011,7229,harry-potter-and-the-deathly-hallows-part-2-2011,tt1201607,12445,5,2.5,2026-01-24T14:50:50.000Z,,
Ready Player One,2018,214279,ready-player-one-2018,tt1677720,333339,6,3.0,2026-01-24T14:50:40.000Z,,
Barbie,2023,242104,barbie-2023,tt1517268,346698,5,2.5,2026-01-24T14:50:32.000Z,,
Toy Story 2,1999,706,toy-story-2-1999,tt0120363,863,9,4.5,2026-01-24T14:50:12.000Z,,
Ratatouille,2007,1416,ratatouille-2007,tt0382932,2062,7,3.5,2026-01-24T14:50:07.000Z,,
"Monsters, Inc.",2001,464,monsters-inc-2001,tt0198781,585,8,4.0,2026-01-24T14:49:56.000Z,,
The Substance,2024,748546,the-substance-2024,tt17526714,933260,4,2.0,2026-01-24T14:49:50.000Z,,
Tenet,2020,427989,tenet-2020,tt6723592,577922,7,3.5,2026-01-24T14:49:21.000Z,,
Dracula,2025,1009185,dracula-2025,tt31434030,1246049,7,3.5,2026-01-24T14:49:13.000Z,,
2001: A Space Odyssey,1968,33,2001-a-space-odyssey-1968,tt0062622,62,7,3.5,2026-01-24T14:49:04.000Z,,
Midsommar,2019,382491,midsommar-2019,tt8772262,530385,7,3.5,2026-01-24T14:48:39.000Z,,
The Martian,2015,183371,the-martian-2015,tt3659388,286217,7,3.5,2026-01-24T14:48:28.000Z,,
Toy Story,1995,705,toy-story-1995,tt0114709,862,8,4.0,2026-01-24T14:48:24.000Z,,
Shrek,2001,651,shrek-2001,tt0126029,808,8,4.0,2026-01-24T14:48:09.000Z,,
Whiplash,2014,149047,whiplash-2014,tt2582802,244786,8,4.0,2026-01-24T14:47:36.000Z,,
Now You See Me: Now You Don't,2025,292275,now-you-see-me-now-you-don-t-2025,tt4712810,425274,1,0.5,2026-01-24T14:47:22.000Z,,
Spider-Man: Across the Spider-Verse,2023,420606,spider-man-across-the-spider-verse-2023,tt9362722,569094,7,3.5,2026-01-24T14:47:11.000Z,,
28 Years Later: The Bone Temple,2026,1033738,28-years-later-the-bone-temple-2026,tt32141377,1272837,8,4.0,2026-01-24T14:46:25.000Z,,
The Room Next Door,2024,875116,the-room-next-door-2024,tt29439114,1088514,2,1.0,2026-01-24T13:49:24.000Z,,
The Great Beauty,2013,113108,the-great-beauty-2013,tt2358891,179144,8,4.0,2026-01-24T13:49:10.000Z,,
Ford v Ferrari,2019,324762,ford-v-ferrari-2019,tt1950186,359724,8,4.0,2026-01-24T13:41:31.000Z,,
28 Days Later,2002,135,28-days-later-2002,tt0289043,170,8,4.0,2026-01-24T13:41:21.000Z,,
Licorice Pizza,2021,560812,licorice-pizza-2021,tt11271038,718032,6,3.0,2026-01-24T13:41:12.000Z,,
Blade Runner 2049,2017,216716,blade-runner-2049-2017,tt1856101,335984,8,4.0,2026-01-24T13:40:56.000Z,,
Annie Hall,1977,575,annie-hall-1977,tt0075686,703,8,4.0,2026-01-24T13:34:22.000Z,,
Mr. Nobody,2009,19769,mr-nobody-2009,tt0485947,31011,8,4.0,2026-01-24T13:13:31.000Z,,
One Battle After Another,2025,848797,one-battle-after-another-2025,tt30144839,1054867,7,3.5,2026-01-24T13:13:20.000Z,,
Nosferatu,2024,808857,nosferatu-2024,tt5040012,426063,7,3.5,2026-01-24T13:13:11.000Z,,
American Psycho,2000,898,american-psycho-2000,tt0144084,1359,6,3.0,2026-01-24T13:13:02.000Z,,
The Banshees of Inisherin,2022,507545,the-banshees-of-inisherin-2022,tt11813216,674324,7,3.5,2026-01-24T13:12:34.000Z,,
The Intouchables,2011,57181,the-intouchables-2011,tt1675434,77338,8,4.0,2026-01-24T13:08:35.000Z,,
Annihilation,2018,220563,annihilation-2018,tt2798920,300668,6,3.0,2026-01-24T13:08:25.000Z,,
Twilight,2008,4433,twilight-2008,tt1099212,8966,5,2.5,2026-01-24T13:08:14.000Z,,
Gran Torino,2008,7759,gran-torino-2008,tt1205489,13223,8,4.0,2026-01-24T13:07:59.000Z,,
The Maze Runner,2014,124008,the-maze-runner-2014,tt1790864,198663,4,2.0,2026-01-24T13:07:53.000Z,,
Bullet Train,2022,561702,bullet-train-2022,tt12593682,718930,4,2.0,2026-01-24T13:07:49.000Z,,
Tropic Thunder,2008,3907,tropic-thunder-2008,tt0942385,7446,7,3.5,2026-01-24T13:07:35.000Z,,
Gravity,2013,34093,gravity-2013,tt1454468,49047,4,2.0,2026-01-24T13:07:30.000Z,,
Nobody,2021,458837,nobody-2021,tt7888964,615457,7,3.5,2026-01-24T13:07:26.000Z,,
American History X,1998,43,american-history-x-1998,tt0120586,73,6,3.0,2026-01-24T13:07:21.000Z,,
Looper,2012,42897,looper-2012,tt1276104,59967,8,4.0,2026-01-24T13:07:14.000Z,,
The Big Short,2015,199563,the-big-short-2015,tt1596363,318846,7,3.5,2026-01-24T13:07:11.000Z,,
Kick-Ass,2010,14160,kick-ass-2010,tt1250777,23483,5,2.5,2026-01-24T13:07:03.000Z,,
Baby Driver,2017,219867,baby-driver-2017,tt3890160,339403,6,3.0,2026-01-24T13:06:55.000Z,,
The Matrix Revolutions,2003,483,the-matrix-revolutions-2003,tt0242653,605,4,2.0,2026-01-24T13:06:48.000Z,,
Now You See Me,2013,55786,now-you-see-me-2013,tt1670345,75656,2,1.0,2026-01-24T13:06:37.000Z,,
The Revenant,2015,179334,the-revenant-2015,tt1663202,281957,4,2.0,2026-01-24T13:06:23.000Z,,
Iron Man,2008,1157,iron-man-2008,tt0371746,1726,4,2.0,2026-01-24T13:06:15.000Z,,
Dunkirk,2017,224641,dunkirk-2017,tt5013056,374720,8,4.0,2026-01-24T13:06:08.000Z,,
